School Year,Level,Division Number,Division Name,School Number,School Name,Subject,Race,Grade,Test Level,Test Source,Test,Pass Count,Total Count,Pass Rate
2008-2009,School,2,Albemarle County,340,Crozet Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2008-2009,School,2,Albemarle County,340,Crozet Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,62,70,88.57
2008-2009,School,2,Albemarle County,10,Hollymead Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2008-2009,School,2,Albemarle County,10,Hollymead Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,64,66,96.97
2008-2009,School,2,Albemarle County,950,Jack Jouett Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,28,39,71.79
2008-2009,School,2,Albemarle County,950,Jack Jouett Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,104,107,97.20
2008-2009,School,2,Albemarle County,69,Jackson P. Burley Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,26,30,86.67
2008-2009,School,2,Albemarle County,69,Jackson P. Burley Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,91,93,97.85
2008-2009,School,2,Albemarle County,942,Joseph T. Henley Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,13,13,100.00
2008-2009,School,2,Albemarle County,942,Joseph T. Henley Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,211,226,93.36
2008-2009,School,2,Albemarle County,20,Leslie H. Walton Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,12,14,85.71
2008-2009,School,2,Albemarle County,20,Leslie H. Walton Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,83,85,97.65
2008-2009,School,2,Albemarle County,40,Mary Carr Greer Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,17,18,94.44
2008-2009,School,2,Albemarle County,40,Mary Carr Greer Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,22,23,95.65
2008-2009,School,2,Albemarle County,250,Meriwether Lewis Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2008-2009,School,2,Albemarle County,250,Meriwether Lewis Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,77,79,97.47
2008-2009,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,12,13,92.31
2008-2009,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,155,159,97.48
2008-2009,School,2,Albemarle County,150,Paul H. Cale Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,12,14,85.71
2008-2009,School,2,Albemarle County,150,Paul H. Cale Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,37,41,90.24
2008-2009,School,2,Albemarle County,540,Red Hill Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2008-2009,School,2,Albemarle County,540,Red Hill Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,12,12,100.00
2008-2009,School,2,Albemarle County,30,Scottsville Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2008-2009,School,2,Albemarle County,30,Scottsville Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,20,20,100.00
2008-2009,School,2,Albemarle County,920,Stone Robinson Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2008-2009,School,2,Albemarle County,920,Stone Robinson Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,50,60,83.33
2008-2009,School,2,Albemarle County,240,Stony Point Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2008-2009,School,2,Albemarle County,240,Stony Point Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,42,44,95.45
2008-2009,School,2,Albemarle County,910,Virginia L. Murray Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,45,45,100.00
2008-2009,School,2,Albemarle County,930,Woodbrook Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,15,<50
2008-2009,School,2,Albemarle County,930,Woodbrook Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,25,25,100.00
2008-2009,Division,2,Albemarle County,,,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,96,122,78.69
2008-2009,Division,2,Albemarle County,,,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,91,114,79.82
2008-2009,Division,2,Albemarle County,,,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,678,727,93.26
2008-2009,Division,2,Albemarle County,,,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,645,671,96.13
2008-2009,School,104,Charlottesville City,100,Buford Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,62,92,67.39
2008-2009,School,104,Charlottesville City,100,Buford Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,108,116,93.10
2008-2009,School,104,Charlottesville City,70,Burnley-Moran Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,11,15,73.33
2008-2009,School,104,Charlottesville City,70,Burnley-Moran Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,25,25,100.00
2008-2009,School,104,Charlottesville City,50,Clark Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,17,22,77.27
2008-2009,School,104,Charlottesville City,50,Clark Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,10,11,90.91
2008-2009,School,104,Charlottesville City,90,Greenbrier Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2008-2009,School,104,Charlottesville City,90,Greenbrier Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,34,34,100.00
2008-2009,School,104,Charlottesville City,120,Jackson-Via Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,18,25,72.00
2008-2009,School,104,Charlottesville City,120,Jackson-Via Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,11,12,91.67
2008-2009,School,104,Charlottesville City,10,Johnson Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,18,21,85.71
2008-2009,School,104,Charlottesville City,10,Johnson Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2008-2009,School,104,Charlottesville City,40,Venable Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,9,13,69.23
2008-2009,School,104,Charlottesville City,40,Venable Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,29,29,100.00
2008-2009,Division,104,Charlottesville City,,,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,81,108,75.00
2008-2009,Division,104,Charlottesville City,,,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,63,93,67.74
2008-2009,Division,104,Charlottesville City,,,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,118,122,96.72
2008-2009,Division,104,Charlottesville City,,,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,108,116,93.10
2008-2009,School,32,Fluvanna County,300,Central Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,32,45,71.11
2008-2009,School,32,Fluvanna County,300,Central Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,166,199,83.42
2008-2009,School,32,Fluvanna County,20,Fluvanna Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,29,40,72.50
2008-2009,School,32,Fluvanna County,20,Fluvanna Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,214,228,93.86
2008-2009,Division,32,Fluvanna County,,,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,32,45,71.11
2008-2009,Division,32,Fluvanna County,,,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,29,41,70.73
2008-2009,Division,32,Fluvanna County,,,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,167,200,83.50
2008-2009,Division,32,Fluvanna County,,,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,214,228,93.86
2008-2009,School,39,Greene County,20,Nathanael Greene Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,11,16,68.75
2008-2009,School,39,Greene County,20,Nathanael Greene Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,81,103,78.64
2008-2009,School,39,Greene County,30,Ruckersville Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,11,17,64.71
2008-2009,School,39,Greene County,30,Ruckersville Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,64,76,84.21
2008-2009,School,39,Greene County,71,William Monroe Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,10,16,62.50
2008-2009,School,39,Greene County,71,William Monroe Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,136,153,88.89
2008-2009,Division,39,Greene County,,,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,23,34,67.65
2008-2009,Division,39,Greene County,,,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,10,16,62.50
2008-2009,Division,39,Greene County,,,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,145,179,81.01
2008-2009,Division,39,Greene County,,,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,136,156,87.18
2008-2009,School,54,Louisa County,660,Jouett Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,8,12,66.67
2008-2009,School,54,Louisa County,660,Jouett Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,73,88,82.95
2008-2009,School,54,Louisa County,601,Louisa County Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,54,72,75.00
2008-2009,School,54,Louisa County,601,Louisa County Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,239,265,90.19
2008-2009,School,54,Louisa County,610,Thomas Jefferson Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,11,16,68.75
2008-2009,School,54,Louisa County,610,Thomas Jefferson Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,71,78,91.03
2008-2009,School,54,Louisa County,641,Trevilians Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,22,26,84.62
2008-2009,School,54,Louisa County,641,Trevilians Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,67,78,85.90
2008-2009,Division,54,Louisa County,,,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,41,54,75.93
2008-2009,Division,54,Louisa County,,,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,54,72,75.00
2008-2009,Division,54,Louisa County,,,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,211,244,86.48
2008-2009,Division,54,Louisa County,,,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,239,266,89.85
2008-2009,School,62,Nelson County,730,Nelson Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,14,21,66.67
2008-2009,School,62,Nelson County,730,Nelson Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,93,102,91.18
2008-2009,School,62,Nelson County,10,Rockfish River Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2008-2009,School,62,Nelson County,10,Rockfish River Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,50,55,90.91
2008-2009,School,62,Nelson County,20,Tye River Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,11,14,78.57
2008-2009,School,62,Nelson County,20,Tye River Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,43,51,84.31
2008-2009,Division,62,Nelson County,,,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,18,23,78.26
2008-2009,Division,62,Nelson County,,,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,14,22,63.64
2008-2009,Division,62,Nelson County,,,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,93,108,86.11
2008-2009,Division,62,Nelson County,,,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,95,105,90.48
2009-2010,School,2,Albemarle County,160,Agnor-Hurt Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,14,16,87.50
2009-2010,School,2,Albemarle County,160,Agnor-Hurt Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,49,54,90.74
2009-2010,School,2,Albemarle County,1053,Baker-Butler Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,9,11,81.82
2009-2010,School,2,Albemarle County,1053,Baker-Butler Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,55,59,93.22
2009-2010,School,2,Albemarle County,900,Benjamin F. Yancey Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,7,13,53.85
2009-2010,School,2,Albemarle County,900,Benjamin F. Yancey Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,9,11,81.82
2009-2010,School,2,Albemarle County,100,Broadus Wood Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2009-2010,School,2,Albemarle County,100,Broadus Wood Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,35,39,89.74
2009-2010,School,2,Albemarle County,941,Brownsville Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2009-2010,School,2,Albemarle County,941,Brownsville Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,79,86,91.86
2009-2010,School,2,Albemarle County,340,Crozet Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,44,48,91.67
2009-2010,School,2,Albemarle County,10,Hollymead Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2009-2010,School,2,Albemarle County,10,Hollymead Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,48,51,94.12
2009-2010,School,2,Albemarle County,950,Jack Jouett Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,37,42,88.10
2009-2010,School,2,Albemarle County,950,Jack Jouett Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,88,92,95.65
2009-2010,School,2,Albemarle County,69,Jackson P. Burley Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,21,22,95.45
2009-2010,School,2,Albemarle County,69,Jackson P. Burley Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,95,98,96.94
2009-2010,School,2,Albemarle County,942,Joseph T. Henley Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,<,<,>50
2009-2010,School,2,Albemarle County,942,Joseph T. Henley Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,208,213,97.65
2009-2010,School,2,Albemarle County,20,Leslie H. Walton Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,13,17,76.47
2009-2010,School,2,Albemarle County,20,Leslie H. Walton Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,95,100,95.00
2009-2010,School,2,Albemarle County,40,Mary Carr Greer Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,14,25,56.00
2009-2010,School,2,Albemarle County,40,Mary Carr Greer Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,14,16,87.50
2009-2010,School,2,Albemarle County,250,Meriwether Lewis Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,69,70,98.57
2009-2010,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,18,18,100.00
2009-2010,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,156,159,98.11
2009-2010,School,2,Albemarle County,150,Paul H. Cale Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,9,12,75.00
2009-2010,School,2,Albemarle County,150,Paul H. Cale Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,51,55,92.73
2009-2010,School,2,Albemarle County,540,Red Hill Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2009-2010,School,2,Albemarle County,540,Red Hill Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,27,28,96.43
2009-2010,School,2,Albemarle County,30,Scottsville Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2009-2010,School,2,Albemarle County,30,Scottsville Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,22,25,88.00
2009-2010,School,2,Albemarle County,920,Stone Robinson Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2009-2010,School,2,Albemarle County,920,Stone Robinson Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,49,63,77.78
2009-2010,School,2,Albemarle County,240,Stony Point Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2009-2010,School,2,Albemarle County,240,Stony Point Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,44,44,100.00
2009-2010,School,2,Albemarle County,910,Virginia L. Murray Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2009-2010,School,2,Albemarle County,910,Virginia L. Murray Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,31,31,100.00
2009-2010,School,2,Albemarle County,930,Woodbrook Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,11,<50
2009-2010,School,2,Albemarle County,930,Woodbrook Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,9,11,81.82
2009-2010,Division,2,Albemarle County,,,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,84,126,66.67
2009-2010,Division,2,Albemarle County,,,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,95,107,88.79
2009-2010,Division,2,Albemarle County,,,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,636,694,91.64
2009-2010,Division,2,Albemarle County,,,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,645,666,96.85
2009-2010,School,104,Charlottesville City,100,Buford Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,82,111,73.87
2009-2010,School,104,Charlottesville City,100,Buford Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,86,90,95.56
2009-2010,School,104,Charlottesville City,70,Burnley-Moran Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,6,10,60.00
2009-2010,School,104,Charlottesville City,70,Burnley-Moran Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,26,29,89.66
2009-2010,School,104,Charlottesville City,50,Clark Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,13,19,68.42
2009-2010,School,104,Charlottesville City,50,Clark Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,10,14,71.43
2009-2010,School,104,Charlottesville City,90,Greenbrier Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,11,13,84.62
2009-2010,School,104,Charlottesville City,90,Greenbrier Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,27,27,100.00
2009-2010,School,104,Charlottesville City,120,Jackson-Via Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,25,29,86.21
2009-2010,School,104,Charlottesville City,120,Jackson-Via Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2009-2010,School,104,Charlottesville City,10,Johnson Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,17,21,80.95
2009-2010,School,104,Charlottesville City,10,Johnson Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2009-2010,School,104,Charlottesville City,40,Venable Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,7,11,63.64
2009-2010,School,104,Charlottesville City,40,Venable Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,29,29,100.00
2009-2010,Division,104,Charlottesville City,,,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,79,106,74.53
2009-2010,Division,104,Charlottesville City,,,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,82,112,73.21
2009-2010,Division,104,Charlottesville City,,,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,104,112,92.86
2009-2010,Division,104,Charlottesville City,,,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,86,90,95.56
2009-2010,School,32,Fluvanna County,300,Central Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,24,48,50.00
2009-2010,School,32,Fluvanna County,300,Central Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,168,214,78.50
2009-2010,School,32,Fluvanna County,260,Fluvanna County High,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,<,<,>50
2009-2010,School,32,Fluvanna County,260,Fluvanna County High,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,<,<,>50
2009-2010,School,32,Fluvanna County,20,Fluvanna Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,35,40,87.50
2009-2010,School,32,Fluvanna County,20,Fluvanna Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,175,189,92.59
2009-2010,Division,32,Fluvanna County,,,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,24,48,50.00
2009-2010,Division,32,Fluvanna County,,,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,40,49,81.63
2009-2010,Division,32,Fluvanna County,,,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,168,214,78.50
2009-2010,Division,32,Fluvanna County,,,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,182,197,92.39
2009-2010,School,39,Greene County,20,Nathanael Greene Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,9,14,64.29
2009-2010,School,39,Greene County,20,Nathanael Greene Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,71,105,67.62
2009-2010,School,39,Greene County,30,Ruckersville Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,8,11,72.73
2009-2010,School,39,Greene County,30,Ruckersville Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,54,69,78.26
2009-2010,School,39,Greene County,71,William Monroe Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,20,24,83.33
2009-2010,School,39,Greene County,71,William Monroe Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,146,165,88.48
2009-2010,Division,39,Greene County,,,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,17,25,68.00
2009-2010,Division,39,Greene County,,,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,20,24,83.33
2009-2010,Division,39,Greene County,,,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,125,174,71.84
2009-2010,Division,39,Greene County,,,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,146,165,88.48
2009-2010,School,54,Louisa County,660,Jouett Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,12,15,80.00
2009-2010,School,54,Louisa County,660,Jouett Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,64,76,84.21
2009-2010,School,54,Louisa County,601,Louisa County Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,35,45,77.78
2009-2010,School,54,Louisa County,601,Louisa County Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,209,231,90.48
2009-2010,School,54,Louisa County,610,Thomas Jefferson Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,19,22,86.36
2009-2010,School,54,Louisa County,610,Thomas Jefferson Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,77,87,88.51
2009-2010,School,54,Louisa County,641,Trevilians Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,13,22,59.09
2009-2010,School,54,Louisa County,641,Trevilians Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,69,84,82.14
2009-2010,Division,54,Louisa County,,,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,44,59,74.58
2009-2010,Division,54,Louisa County,,,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,35,45,77.78
2009-2010,Division,54,Louisa County,,,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,210,249,84.34
2009-2010,Division,54,Louisa County,,,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,209,233,89.70
2009-2010,School,62,Nelson County,730,Nelson Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,21,26,80.77
2009-2010,School,62,Nelson County,730,Nelson Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,98,110,89.09
2009-2010,School,62,Nelson County,10,Rockfish River Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2009-2010,School,62,Nelson County,10,Rockfish River Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,45,51,88.24
2009-2010,School,62,Nelson County,20,Tye River Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,14,20,70.00
2009-2010,School,62,Nelson County,20,Tye River Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,54,59,91.53
