School Year,Division Number,Division Name,Subject,Race,Test Level,Test Source,Test,Total Count,Pass Rate
2008-2009,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,229,93.45
2008-2009,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,34,67.65
2008-2009,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,20,80
2008-2009,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,27,62.96
2008-2009,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,16,56.25
2008-2009,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,28,67.86
2008-2009,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,17,58.82
2008-2009,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,179,81.01
2008-2009,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,192,81.77
2008-2009,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,153,87.58
2008-2009,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,172,80.81
2008-2009,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,160,76.25
2008-2009,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,160,85.63
2008-2009,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,54,75.93
2008-2009,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,62,75.81
2008-2009,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,69,88.41
2008-2009,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,58,63.79
2008-2009,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,46,86.96
2008-2009,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,72,75
2008-2009,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,244,86.48
2008-2009,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,187,93.05
2008-2009,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,232,92.24
2008-2009,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,236,92.37
2008-2009,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,239,89.12
2008-2009,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,267,89.51
2008-2009,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,23,78.26
2008-2009,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,21,61.9
2008-2009,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,20,80
2008-2009,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,23,86.96
2008-2009,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,28,85.71
2008-2009,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,23,60.87
2008-2009,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,108,86.11
2008-2009,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,110,90.91
2008-2009,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,122,91.8
2008-2009,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,92,88.04
2008-2009,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,113,90.27
2008-2009,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,110,86.36
2009-2010,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,126,66.67
2009-2010,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,126,83.33
2009-2010,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,127,83.46
2009-2010,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,121,69.42
2009-2010,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,103,77.67
2009-2010,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,109,88.07
2009-2010,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,694,91.64
2009-2010,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,733,94.95
2009-2010,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,661,97.13
2009-2010,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,687,93.6
2009-2010,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,685,93.28
2009-2010,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,666,96.85
2009-2010,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,106,74.53
2009-2010,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,114,68.42
2009-2010,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,105,54.29
2009-2010,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,98,61.22
2009-2010,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,98,65.31
2009-2010,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,114,71.93
2009-2010,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,112,92.86
2009-2010,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,116,93.97
2009-2010,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,119,91.6
2009-2010,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,103,93.2
2009-2010,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,93,95.7
2009-2010,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,90,95.56
2009-2010,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,48,50
2009-2010,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,48,60.42
2009-2010,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,51,66.67
2009-2010,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,46,67.39
2009-2010,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,49,87.76
2009-2010,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,50,80
2009-2010,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,214,78.5
2009-2010,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,206,83.01
2009-2010,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,205,92.68
2009-2010,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,218,88.53
2009-2010,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,225,89.33
2009-2010,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,197,92.39
2009-2010,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,25,68
2009-2010,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,34,76.47
2009-2010,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,20,80
2009-2010,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,21,66.67
2009-2010,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,17,70.59
2009-2010,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,24,83.33
2009-2010,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,174,71.84
2009-2010,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,173,82.66
2009-2010,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,195,87.69
2009-2010,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,153,80.39
2009-2010,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,173,88.44
2009-2010,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,170,87.65
2009-2010,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,59,74.58
2009-2010,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,47,68.09
2009-2010,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,65,86.15
2009-2010,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,74,81.08
2009-2010,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,53,71.7
2009-2010,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,45,77.78
2009-2010,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,249,84.34
2009-2010,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,238,87.82
2009-2010,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,193,94.3
2009-2010,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,233,90.13
2009-2010,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,240,93.75
2009-2010,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,234,89.32
2009-2010,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,25,64
2009-2010,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,24,75
2009-2010,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,17,88.24
2009-2010,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,20,90
2009-2010,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,20,90
2009-2010,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,26,80.77
2009-2010,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,110,90
2009-2010,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,105,89.52
2009-2010,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,113,92.92
2009-2010,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,125,92.8
2009-2010,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,87,90.8
2009-2010,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,111,88.29
2010-2011,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,111,72.07
2010-2011,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,109,65.14
2010-2011,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,110,86.36
2010-2011,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,111,72.07
2010-2011,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,112,73.21
2010-2011,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,97,82.47
2010-2011,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,700,90.29
2010-2011,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,685,92.55
2010-2011,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,697,94.12
2010-2011,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,683,94.58
2010-2011,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,694,94.52
2010-2011,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,670,96.12
2010-2011,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,131,79.39
2010-2011,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,102,76.47
2010-2011,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,107,55.14
2010-2011,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,99,59.6
2010-2011,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,101,60.4
2010-2011,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,113,66.37
2010-2011,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,130,95.38
2010-2011,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,117,98.29
2010-2011,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,108,93.52
2010-2011,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,122,94.26
2010-2011,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,91,93.41
2010-2011,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,101,91.09
2010-2011,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,51,56.86
2010-2011,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,45,73.33
2010-2011,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,40,57.5
2010-2011,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,39,71.79
2010-2011,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,42,66.67
2010-2011,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,43,93.02
2010-2011,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,211,85.31
2010-2011,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,212,83.96
2010-2011,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,210,85.24
2010-2011,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,189,85.19
2010-2011,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,214,88.32
2010-2011,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,234,91.03
2010-2011,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,16,62.5
2010-2011,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,23,73.91
2010-2011,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,25,76
2010-2011,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,14,71.43
2010-2011,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,20,80
2010-2011,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,16,87.5
2010-2011,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,170,80.59
2010-2011,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,164,84.76
2010-2011,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,175,84.57
2010-2011,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,183,83.61
2010-2011,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,146,87.67
2010-2011,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,181,92.82
2010-2011,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,54,62.96
2010-2011,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,63,74.6
2010-2011,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,57,78.95
2010-2011,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,74,64.86
2010-2011,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,79,73.42
2010-2011,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,67,73.13
2010-2011,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,259,81.08
2010-2011,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,256,85.16
2010-2011,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,251,89.64
2010-2011,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,213,87.32
2010-2011,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,244,85.25
2010-2011,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,262,90.46
2010-2011,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,19,68.42
2010-2011,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,22,54.55
2010-2011,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,19,84.21
2010-2011,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,18,83.33
2010-2011,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,19,94.74
2010-2011,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,20,90
2010-2011,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,104,83.65
2010-2011,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,108,87.04
2010-2011,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,108,84.26
2010-2011,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,109,88.99
2010-2011,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,117,94.87
2010-2011,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,99,93.94
2011-2012,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,99,60.61
2011-2012,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,103,71.84
2011-2012,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,106,63.21
2011-2012,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,105,81.9
2011-2012,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,123,80.49
2011-2012,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,116,76.72
2011-2012,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,620,90
2011-2012,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,703,93.17
2011-2012,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,675,91.26
2011-2012,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,702,95.73
2011-2012,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,670,94.33
2011-2012,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,687,95.34
2011-2012,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,86,84.88
2011-2012,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,125,78.4
2011-2012,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,104,74.04
2011-2012,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,104,69.23
2011-2012,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,97,69.07
2011-2012,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,106,66.04
2011-2012,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,142,95.07
2011-2012,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,125,95.2
2011-2012,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,105,96.19
2011-2012,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,103,95.15
2011-2012,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,115,96.52
2011-2012,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,85,98.82
2011-2012,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,40,75
2011-2012,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,48,72.92
2011-2012,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,48,70.83
2011-2012,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,45,60
2011-2012,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,41,78.05
2011-2012,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,46,82.61
2011-2012,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,228,85.53
2011-2012,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,214,85.51
2011-2012,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,201,89.55
2011-2012,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,210,87.14
2011-2012,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,193,88.6
2011-2012,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,225,88
2011-2012,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,16,62.5
2011-2012,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,16,62.5
2011-2012,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,24,58.33
2011-2012,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,17,88.24
2011-2012,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,16,56.25
2011-2012,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,21,85.71
2011-2012,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,184,82.07
2011-2012,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,170,86.47
2011-2012,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,159,83.65
2011-2012,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,114,86.84
2011-2012,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,183,89.07
2011-2012,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,148,91.22
2011-2012,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,51,70.59
2011-2012,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,55,70.91
2011-2012,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,70,82.86
2011-2012,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,62,91.94
2011-2012,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,77,75.32
2011-2012,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,86,80.23
2011-2012,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,230,84.78
2011-2012,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,250,87.6
2011-2012,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,255,88.63
2011-2012,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,251,90.84
2011-2012,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,210,89.05
2011-2012,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,238,84.45
2011-2012,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,15,80
2011-2012,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,18,77.78
2011-2012,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,22,68.18
2011-2012,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,18,83.33
2011-2012,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,18,94.44
2011-2012,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,19,94.74
2011-2012,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,116,85.34
2011-2012,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,105,90.48
2011-2012,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,102,90.2
2011-2012,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,108,87.04
2011-2012,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,118,88.14
2011-2012,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,117,94.87
2012-2013,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,94,45.74
