fall_membership_statistics (1),,,,,,,,,,
School Year,Level,Division Number,Division Name,School Number,School Name,Race,Disadvantaged,Full Time Count (All Grades),Part Time Count (All Grades),Total Count
2008-2009,School,32,Fluvanna County,20,Fluvanna Middle,"White, not of Hispanic origin",Y,80,,80
2008-2009,Division,32,Fluvanna County,,,"Black, not of Hispanic origin",Y,326,,326
2008-2009,Division,32,Fluvanna County,,,"White, not of Hispanic origin",Y,389,,389
2008-2009,School,39,Greene County,10,Greene County Primary,"Black, not of Hispanic origin",Y,30,,30
2008-2009,School,39,Greene County,10,Greene County Primary,"White, not of Hispanic origin",Y,108,,108
2008-2009,School,39,Greene County,20,Nathanael Greene Elementary,"Black, not of Hispanic origin",Y,26,,26
2008-2009,School,39,Greene County,20,Nathanael Greene Elementary,"White, not of Hispanic origin",Y,90,,90
2008-2009,School,39,Greene County,30,Ruckersville Elementary,"Black, not of Hispanic origin",Y,43,,43
2008-2009,School,39,Greene County,30,Ruckersville Elementary,"White, not of Hispanic origin",Y,93,,93
2008-2009,School,39,Greene County,72,William Monroe High,"Black, not of Hispanic origin",Y,53,,53
2008-2009,School,39,Greene County,72,William Monroe High,"White, not of Hispanic origin",Y,124,,124
2008-2009,School,39,Greene County,71,William Monroe Middle,"Black, not of Hispanic origin",Y,31,,31
2008-2009,School,39,Greene County,71,William Monroe Middle,"White, not of Hispanic origin",Y,115,,115
2008-2009,Division,39,Greene County,,,"Black, not of Hispanic origin",Y,183,,183
2008-2009,Division,39,Greene County,,,"White, not of Hispanic origin",Y,530,,530
2008-2009,School,54,Louisa County,660,Jouett Elementary,"Black, not of Hispanic origin",Y,48,,48
2008-2009,School,54,Louisa County,660,Jouett Elementary,"White, not of Hispanic origin",Y,158,,158
2008-2009,School,54,Louisa County,602,Louisa County High,"Black, not of Hispanic origin",Y,222,,222
2008-2009,School,54,Louisa County,602,Louisa County High,"White, not of Hispanic origin",Y,261,<,262
2008-2009,School,54,Louisa County,601,Louisa County Middle,"Black, not of Hispanic origin",Y,114,,114
2008-2009,School,54,Louisa County,601,Louisa County Middle,"White, not of Hispanic origin",Y,250,,250
2008-2009,School,54,Louisa County,610,Thomas Jefferson Elementary,"Black, not of Hispanic origin",Y,116,,116
2008-2009,School,54,Louisa County,610,Thomas Jefferson Elementary,"White, not of Hispanic origin",Y,216,,216
2008-2009,School,54,Louisa County,641,Trevilians Elementary,"Black, not of Hispanic origin",Y,89,,89
2008-2009,School,54,Louisa County,641,Trevilians Elementary,"White, not of Hispanic origin",Y,159,,159
2008-2009,Division,54,Louisa County,,,"Black, not of Hispanic origin",Y,589,,589
2008-2009,Division,54,Louisa County,,,"White, not of Hispanic origin",Y,"1,044",<,"1,045"
2008-2009,School,62,Nelson County,710,Nelson County High,"Black, not of Hispanic origin",Y,70,,70
2008-2009,School,62,Nelson County,710,Nelson County High,"White, not of Hispanic origin",Y,134,,134
2008-2009,School,62,Nelson County,730,Nelson Middle,"Black, not of Hispanic origin",Y,68,,68
2008-2009,School,62,Nelson County,730,Nelson Middle,"White, not of Hispanic origin",Y,122,,122
2008-2009,School,62,Nelson County,10,Rockfish River Elementary,"Black, not of Hispanic origin",Y,20,,20
2008-2009,School,62,Nelson County,10,Rockfish River Elementary,"White, not of Hispanic origin",Y,124,,124
2008-2009,School,62,Nelson County,20,Tye River Elementary,"Black, not of Hispanic origin",Y,97,,97
2008-2009,School,62,Nelson County,20,Tye River Elementary,"White, not of Hispanic origin",Y,163,,163
2008-2009,Division,62,Nelson County,,,"Black, not of Hispanic origin",Y,255,,255
2008-2009,Division,62,Nelson County,,,"White, not of Hispanic origin",Y,543,,543
2009-2010,School,2,Albemarle County,160,Agnor-Hurt Elementary,"Black, not of Hispanic origin",Y,71,,71
2009-2010,School,2,Albemarle County,160,Agnor-Hurt Elementary,"White, not of Hispanic origin",Y,58,,58
2009-2010,School,2,Albemarle County,1060,Albemarle County Community Public Charter,"Black, not of Hispanic origin",Y,<,,<
2009-2010,School,2,Albemarle County,1060,Albemarle County Community Public Charter,"White, not of Hispanic origin",Y,<,,<
2009-2010,School,2,Albemarle County,880,Albemarle High,"Black, not of Hispanic origin",Y,130,,130
2009-2010,School,2,Albemarle County,880,Albemarle High,"White, not of Hispanic origin",Y,91,,91
2009-2010,School,2,Albemarle County,1053,Baker-Butler Elementary,"Black, not of Hispanic origin",Y,25,,25
2009-2010,School,2,Albemarle County,1053,Baker-Butler Elementary,"White, not of Hispanic origin",Y,36,,36
2009-2010,School,2,Albemarle County,900,Benjamin F. Yancey Elementary,"Black, not of Hispanic origin",Y,44,,44
2009-2010,School,2,Albemarle County,900,Benjamin F. Yancey Elementary,"White, not of Hispanic origin",Y,57,,57
2009-2010,School,2,Albemarle County,100,Broadus Wood Elementary,"Black, not of Hispanic origin",Y,<,,<
2009-2010,School,2,Albemarle County,100,Broadus Wood Elementary,"White, not of Hispanic origin",Y,30,,30
2009-2010,School,2,Albemarle County,941,Brownsville Elementary,"Black, not of Hispanic origin",Y,27,,27
2009-2010,School,2,Albemarle County,941,Brownsville Elementary,"White, not of Hispanic origin",Y,52,,52
2009-2010,School,2,Albemarle County,340,Crozet Elementary,"Black, not of Hispanic origin",Y,<,,<
2009-2010,School,2,Albemarle County,340,Crozet Elementary,"White, not of Hispanic origin",Y,46,,46
2009-2010,School,2,Albemarle County,10,Hollymead Elementary,"Black, not of Hispanic origin",Y,12,,12
2009-2010,School,2,Albemarle County,10,Hollymead Elementary,"White, not of Hispanic origin",Y,40,,40
2009-2010,School,2,Albemarle County,950,Jack Jouett Middle,"Black, not of Hispanic origin",Y,80,,80
2009-2010,School,2,Albemarle County,950,Jack Jouett Middle,"White, not of Hispanic origin",Y,46,,46
2009-2010,School,2,Albemarle County,69,Jackson P. Burley Middle,"Black, not of Hispanic origin",Y,55,,55
2009-2010,School,2,Albemarle County,69,Jackson P. Burley Middle,"White, not of Hispanic origin",Y,65,,65
2009-2010,School,2,Albemarle County,942,Joseph T. Henley Middle,"Black, not of Hispanic origin",Y,17,,17
2009-2010,School,2,Albemarle County,942,Joseph T. Henley Middle,"White, not of Hispanic origin",Y,58,,58
2009-2010,School,2,Albemarle County,20,Leslie H. Walton Middle,"Black, not of Hispanic origin",Y,42,,42
2009-2010,School,2,Albemarle County,20,Leslie H. Walton Middle,"White, not of Hispanic origin",Y,82,,82
2009-2010,School,2,Albemarle County,40,Mary Carr Greer Elementary,"Black, not of Hispanic origin",Y,138,,138
2009-2010,School,2,Albemarle County,40,Mary Carr Greer Elementary,"White, not of Hispanic origin",Y,56,,56
2009-2010,School,2,Albemarle County,250,Meriwether Lewis Elementary,"Black, not of Hispanic origin",Y,<,,<
2009-2010,School,2,Albemarle County,250,Meriwether Lewis Elementary,"White, not of Hispanic origin",Y,21,,21
2009-2010,School,2,Albemarle County,1052,Monticello High,"Black, not of Hispanic origin",Y,76,,76
2009-2010,School,2,Albemarle County,1052,Monticello High,"White, not of Hispanic origin",Y,139,,139
2009-2010,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,"Black, not of Hispanic origin",Y,17,,17
2009-2010,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,"White, not of Hispanic origin",Y,43,,43
2009-2010,School,2,Albemarle County,890,Murray High,"Black, not of Hispanic origin",Y,<,,<
2009-2010,School,2,Albemarle County,890,Murray High,"White, not of Hispanic origin",Y,12,,12
2009-2010,School,2,Albemarle County,150,Paul H. Cale Elementary,"Black, not of Hispanic origin",Y,38,,38
2009-2010,School,2,Albemarle County,150,Paul H. Cale Elementary,"White, not of Hispanic origin",Y,52,,52
2009-2010,School,2,Albemarle County,540,Red Hill Elementary,"Black, not of Hispanic origin",Y,14,,14
2009-2010,School,2,Albemarle County,540,Red Hill Elementary,"White, not of Hispanic origin",Y,60,,60
2009-2010,School,2,Albemarle County,30,Scottsville Elementary,"Black, not of Hispanic origin",Y,10,,10
2009-2010,School,2,Albemarle County,30,Scottsville Elementary,"White, not of Hispanic origin",Y,71,,71
2009-2010,School,2,Albemarle County,920,Stone Robinson Elementary,"Black, not of Hispanic origin",Y,29,,29
2009-2010,School,2,Albemarle County,920,Stone Robinson Elementary,"White, not of Hispanic origin",Y,65,,65
2009-2010,School,2,Albemarle County,240,Stony Point Elementary,"Black, not of Hispanic origin",Y,36,,36
2009-2010,School,2,Albemarle County,240,Stony Point Elementary,"White, not of Hispanic origin",Y,36,,36
2009-2010,School,2,Albemarle County,910,Virginia L. Murray Elementary,"Black, not of Hispanic origin",Y,<,,<
2009-2010,School,2,Albemarle County,910,Virginia L. Murray Elementary,"White, not of Hispanic origin",Y,<,,<
2009-2010,School,2,Albemarle County,140,Western Albemarle High,"Black, not of Hispanic origin",Y,12,,12
2009-2010,School,2,Albemarle County,140,Western Albemarle High,"White, not of Hispanic origin",Y,73,,73
2009-2010,School,2,Albemarle County,930,Woodbrook Elementary,"Black, not of Hispanic origin",Y,78,,78
2009-2010,School,2,Albemarle County,930,Woodbrook Elementary,"White, not of Hispanic origin",Y,27,,27
2009-2010,Division,2,Albemarle County,,,"Black, not of Hispanic origin",Y,979,,979
2009-2010,Division,2,Albemarle County,,,"White, not of Hispanic origin",Y,"1,329",,"1,329"
2009-2010,School,104,Charlottesville City,100,Buford Middle,"Black, not of Hispanic origin",Y,192,,192
2009-2010,School,104,Charlottesville City,100,Buford Middle,"White, not of Hispanic origin",Y,40,,40
2009-2010,School,104,Charlottesville City,70,Burnley-Moran Elementary,"Black, not of Hispanic origin",Y,93,,93
2009-2010,School,104,Charlottesville City,70,Burnley-Moran Elementary,"White, not of Hispanic origin",Y,34,,34
2009-2010,School,104,Charlottesville City,140,Charlottesville High,"Black, not of Hispanic origin",Y,377,,377
2009-2010,School,104,Charlottesville City,140,Charlottesville High,"White, not of Hispanic origin",Y,93,,93
2009-2010,School,104,Charlottesville City,50,Clark Elementary,"Black, not of Hispanic origin",Y,146,,146
2009-2010,School,104,Charlottesville City,50,Clark Elementary,"White, not of Hispanic origin",Y,43,,43
2009-2010,School,104,Charlottesville City,90,Greenbrier Elementary,"Black, not of Hispanic origin",Y,59,,59
2009-2010,School,104,Charlottesville City,90,Greenbrier Elementary,"White, not of Hispanic origin",Y,19,,19
2009-2010,School,104,Charlottesville City,120,Jackson-Via Elementary,"Black, not of Hispanic origin",Y,148,,148
2009-2010,School,104,Charlottesville City,120,Jackson-Via Elementary,"White, not of Hispanic origin",Y,18,,18
2009-2010,School,104,Charlottesville City,10,Johnson Elementary,"Black, not of Hispanic origin",Y,136,,136
2009-2010,School,104,Charlottesville City,10,Johnson Elementary,"White, not of Hispanic origin",Y,17,,17
2009-2010,School,104,Charlottesville City,40,Venable Elementary,"Black, not of Hispanic origin",Y,72,,72
2009-2010,School,104,Charlottesville City,40,Venable Elementary,"White, not of Hispanic origin",Y,<,,<
2009-2010,School,104,Charlottesville City,110,Walker Upper Elementary,"Black, not of Hispanic origin",Y,204,,204
2009-2010,School,104,Charlottesville City,110,Walker Upper Elementary,"White, not of Hispanic origin",Y,38,,38
2009-2010,Division,104,Charlottesville City,,,"Black, not of Hispanic origin",Y,"1,427",,"1,427"
2009-2010,Division,104,Charlottesville City,,,"White, not of Hispanic origin",Y,308,,308
2009-2010,School,32,Fluvanna County,300,Central Elementary,"Black, not of Hispanic origin",Y,104,,104
2009-2010,School,32,Fluvanna County,300,Central Elementary,"White, not of Hispanic origin",Y,183,,183
2009-2010,School,32,Fluvanna County,270,Columbia District Elementary,"Black, not of Hispanic origin",Y,17,,17
2009-2010,School,32,Fluvanna County,270,Columbia District Elementary,"White, not of Hispanic origin",Y,10,,10
2009-2010,School,32,Fluvanna County,290,Cunningham District Elementary,"Black, not of Hispanic origin",Y,34,,34
2009-2010,School,32,Fluvanna County,290,Cunningham District Elementary,"White, not of Hispanic origin",Y,58,,58
2009-2010,School,32,Fluvanna County,260,Fluvanna County High,"Black, not of Hispanic origin",Y,127,,127
2009-2010,School,32,Fluvanna County,260,Fluvanna County High,"White, not of Hispanic origin",Y,143,,143
2009-2010,School,32,Fluvanna County,20,Fluvanna Middle,"Black, not of Hispanic origin",Y,67,,67
2009-2010,School,32,Fluvanna County,20,Fluvanna Middle,"White, not of Hispanic origin",Y,101,,101
2009-2010,Division,32,Fluvanna County,,,"Black, not of Hispanic origin",Y,349,,349
2009-2010,Division,32,Fluvanna County,,,"White, not of Hispanic origin",Y,495,,495
2009-2010,School,39,Greene County,10,Greene County Primary,"Black, not of Hispanic origin",Y,33,,33
2009-2010,School,39,Greene County,10,Greene County Primary,"White, not of Hispanic origin",Y,154,,154
2009-2010,School,39,Greene County,20,Nathanael Greene Elementary,"Black, not of Hispanic origin",Y,32,,32
2009-2010,School,39,Greene County,20,Nathanael Greene Elementary,"White, not of Hispanic origin",Y,105,,105
2009-2010,School,39,Greene County,30,Ruckersville Elementary,"Black, not of Hispanic origin",Y,43,,43
2009-2010,School,39,Greene County,30,Ruckersville Elementary,"White, not of Hispanic origin",Y,93,,93
2009-2010,School,39,Greene County,72,William Monroe High,"Black, not of Hispanic origin",Y,43,,43
2009-2010,School,39,Greene County,72,William Monroe High,"White, not of Hispanic origin",Y,120,,120
2009-2010,School,39,Greene County,71,William Monroe Middle,"Black, not of Hispanic origin",Y,36,,36
2009-2010,School,39,Greene County,71,William Monroe Middle,"White, not of Hispanic origin",Y,137,,137
2009-2010,Division,39,Greene County,,,"Black, not of Hispanic origin",Y,187,,187
2009-2010,Division,39,Greene County,,,"White, not of Hispanic origin",Y,609,,609
2009-2010,School,54,Louisa County,660,Jouett Elementary,"Black, not of Hispanic origin",Y,59,,59
2009-2010,School,54,Louisa County,660,Jouett Elementary,"White, not of Hispanic origin",Y,182,,182
2009-2010,School,54,Louisa County,602,Louisa County High,"Black, not of Hispanic origin",Y,196,,196
2009-2010,School,54,Louisa County,602,Louisa County High,"White, not of Hispanic origin",Y,285,,285
2009-2010,School,54,Louisa County,601,Louisa County Middle,"Black, not of Hispanic origin",Y,124,,124
2009-2010,School,54,Louisa County,601,Louisa County Middle,"White, not of Hispanic origin",Y,272,,272
2009-2010,School,54,Louisa County,610,Thomas Jefferson Elementary,"Black, not of Hispanic origin",Y,121,,121
2009-2010,School,54,Louisa County,610,Thomas Jefferson Elementary,"White, not of Hispanic origin",Y,238,,238
2009-2010,School,54,Louisa County,641,Trevilians Elementary,"Black, not of Hispanic origin",Y,97,,97
2009-2010,School,54,Louisa County,641,Trevilians Elementary,"White, not of Hispanic origin",Y,147,,147
2009-2010,Division,54,Louisa County,,,"Black, not of Hispanic origin",Y,597,,597
2009-2010,Division,54,Louisa County,,,"White, not of Hispanic origin",Y,"1,124",,"1,124"
2009-2010,School,62,Nelson County,710,Nelson County High,"Black, not of Hispanic origin",Y,68,,68
2009-2010,School,62,Nelson County,710,Nelson County High,"White, not of Hispanic origin",Y,169,,169
2009-2010,School,62,Nelson County,730,Nelson Middle,"Black, not of Hispanic origin",Y,64,,64
2009-2010,School,62,Nelson County,730,Nelson Middle,"White, not of Hispanic origin",Y,125,,125
2009-2010,School,62,Nelson County,10,Rockfish River Elementary,"Black, not of Hispanic origin",Y,25,,25
2009-2010,School,62,Nelson County,10,Rockfish River Elementary,"White, not of Hispanic origin",Y,139,,139
2009-2010,School,62,Nelson County,20,Tye River Elementary,"Black, not of Hispanic origin",Y,93,,93
2009-2010,School,62,Nelson County,20,Tye River Elementary,"White, not of Hispanic origin",Y,166,,166
2009-2010,Division,62,Nelson County,,,"Black, not of Hispanic origin",Y,250,,250
2009-2010,Division,62,Nelson County,,,"White, not of Hispanic origin",Y,599,,599
2010-2011,School,2,Albemarle County,160,Agnor-Hurt Elementary,"Black, not of Hispanic origin",Y,78,,78
2010-2011,School,2,Albemarle County,160,Agnor-Hurt Elementary,"White, not of Hispanic origin",Y,58,,58
2010-2011,School,2,Albemarle County,1060,Albemarle County Community Public Charter,"Black, not of Hispanic origin",Y,<,,<
2010-2011,School,2,Albemarle County,1060,Albemarle County Community Public Charter,"White, not of Hispanic origin",Y,<,,<
2010-2011,School,2,Albemarle County,880,Albemarle High,"Black, not of Hispanic origin",Y,135,,135
2010-2011,School,2,Albemarle County,880,Albemarle High,"White, not of Hispanic origin",Y,114,,114
2010-2011,School,2,Albemarle County,1053,Baker-Butler Elementary,"Black, not of Hispanic origin",Y,25,,25
2010-2011,School,2,Albemarle County,1053,Baker-Butler Elementary,"White, not of Hispanic origin",Y,30,,30
2010-2011,School,2,Albemarle County,900,Benjamin F. Yancey Elementary,"Black, not of Hispanic origin",Y,30,,30
2010-2011,School,2,Albemarle County,900,Benjamin F. Yancey Elementary,"White, not of Hispanic origin",Y,62,,62
2010-2011,School,2,Albemarle County,100,Broadus Wood Elementary,"Black, not of Hispanic origin",Y,<,,<
2010-2011,School,2,Albemarle County,100,Broadus Wood Elementary,"White, not of Hispanic origin",Y,37,,37
2010-2011,School,2,Albemarle County,941,Brownsville Elementary,"Black, not of Hispanic origin",Y,19,,19
2010-2011,School,2,Albemarle County,941,Brownsville Elementary,"White, not of Hispanic origin",Y,59,,59
2010-2011,School,2,Albemarle County,340,Crozet Elementary,"Black, not of Hispanic origin",Y,<,,<
2010-2011,School,2,Albemarle County,340,Crozet Elementary,"White, not of Hispanic origin",Y,49,,49
2010-2011,School,2,Albemarle County,10,Hollymead Elementary,"Black, not of Hispanic origin",Y,<,,<
2010-2011,School,2,Albemarle County,10,Hollymead Elementary,"White, not of Hispanic origin",Y,35,,35
2010-2011,School,2,Albemarle County,950,Jack Jouett Middle,"Black, not of Hispanic origin",Y,93,,93
2010-2011,School,2,Albemarle County,950,Jack Jouett Middle,"White, not of Hispanic origin",Y,59,,59
2010-2011,School,2,Albemarle County,69,Jackson P. Burley Middle,"Black, not of Hispanic origin",Y,58,,58
2010-2011,School,2,Albemarle County,69,Jackson P. Burley Middle,"White, not of Hispanic origin",Y,47,,47
2010-2011,School,2,Albemarle County,942,Joseph T. Henley Middle,"Black, not of Hispanic origin",Y,23,,23
2010-2011,School,2,Albemarle County,942,Joseph T. Henley Middle,"White, not of Hispanic origin",Y,49,,49
2010-2011,School,2,Albemarle County,20,Leslie H. Walton Middle,"Black, not of Hispanic origin",Y,37,,37
2010-2011,School,2,Albemarle County,20,Leslie H. Walton Middle,"White, not of Hispanic origin",Y,80,,80
2010-2011,School,2,Albemarle County,40,Mary Carr Greer Elementary,"Black, not of Hispanic origin",Y,155,,155
2010-2011,School,2,Albemarle County,40,Mary Carr Greer Elementary,"White, not of Hispanic origin",Y,59,,59
2010-2011,School,2,Albemarle County,250,Meriwether Lewis Elementary,"Black, not of Hispanic origin",Y,<,,<
2010-2011,School,2,Albemarle County,250,Meriwether Lewis Elementary,"White, not of Hispanic origin",Y,18,,18
2010-2011,School,2,Albemarle County,1052,Monticello High,"Black, not of Hispanic origin",Y,91,,91
2010-2011,School,2,Albemarle County,1052,Monticello High,"White, not of Hispanic origin",Y,170,,170
2010-2011,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,"Black, not of Hispanic origin",Y,14,,14
2010-2011,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,"White, not of Hispanic origin",Y,45,,45
2010-2011,School,2,Albemarle County,890,Murray High,"Black, not of Hispanic origin",Y,<,,<
2010-2011,School,2,Albemarle County,890,Murray High,"White, not of Hispanic origin",Y,21,,21
2010-2011,School,2,Albemarle County,150,Paul H. Cale Elementary,"Black, not of Hispanic origin",Y,27,,27
2010-2011,School,2,Albemarle County,150,Paul H. Cale Elementary,"White, not of Hispanic origin",Y,52,,52
2010-2011,School,2,Albemarle County,540,Red Hill Elementary,"Black, not of Hispanic origin",Y,13,,13
2010-2011,School,2,Albemarle County,540,Red Hill Elementary,"White, not of Hispanic origin",Y,61,,61
2010-2011,School,2,Albemarle County,30,Scottsville Elementary,"Black, not of Hispanic origin",Y,12,,12
2010-2011,School,2,Albemarle County,30,Scottsville Elementary,"White, not of Hispanic origin",Y,83,,83
2010-2011,School,2,Albemarle County,920,Stone Robinson Elementary,"Black, not of Hispanic origin",Y,23,,23
2010-2011,School,2,Albemarle County,920,Stone Robinson Elementary,"White, not of Hispanic origin",Y,75,,75
2010-2011,School,2,Albemarle County,240,Stony Point Elementary,"Black, not of Hispanic origin",Y,35,,35
2010-2011,School,2,Albemarle County,240,Stony Point Elementary,"White, not of Hispanic origin",Y,37,,37
2010-2011,School,2,Albemarle County,910,Virginia L. Murray Elementary,"Black, not of Hispanic origin",Y,<,,<
2010-2011,School,2,Albemarle County,910,Virginia L. Murray Elementary,"White, not of Hispanic origin",Y,<,,<
2010-2011,School,2,Albemarle County,140,Western Albemarle High,"Black, not of Hispanic origin",Y,18,,18
2010-2011,School,2,Albemarle County,140,Western Albemarle High,"White, not of Hispanic origin",Y,78,,78
2010-2011,School,2,Albemarle County,930,Woodbrook Elementary,"Black, not of Hispanic origin",Y,59,,59
2010-2011,School,2,Albemarle County,930,Woodbrook Elementary,"White, not of Hispanic origin",Y,24,,24
2010-2011,Division,2,Albemarle County,,,"Black, not of Hispanic origin",Y,970,,970
2010-2011,Division,2,Albemarle County,,,"White, not of Hispanic origin",Y,"1,419",,"1,419"
2010-2011,School,104,Charlottesville City,100,Buford Middle,"Black, not of Hispanic origin",Y,170,,170
2010-2011,School,104,Charlottesville City,100,Buford Middle,"White, not of Hispanic origin",Y,35,,35
2010-2011,School,104,Charlottesville City,70,Burnley-Moran Elementary,"Black, not of Hispanic origin",Y,96,,96
2010-2011,School,104,Charlottesville City,70,Burnley-Moran Elementary,"White, not of Hispanic origin",Y,35,,35
2010-2011,School,104,Charlottesville City,140,Charlottesville High,"Black, not of Hispanic origin",Y,357,,357
2010-2011,School,104,Charlottesville City,140,Charlottesville High,"White, not of Hispanic origin",Y,102,,102
2010-2011,School,104,Charlottesville City,50,Clark Elementary,"Black, not of Hispanic origin",Y,159,,159
2010-2011,School,104,Charlottesville City,50,Clark Elementary,"White, not of Hispanic origin",Y,33,,33
2010-2011,School,104,Charlottesville City,90,Greenbrier Elementary,"Black, not of Hispanic origin",Y,55,,55
2010-2011,School,104,Charlottesville City,90,Greenbrier Elementary,"White, not of Hispanic origin",Y,28,,28
2010-2011,School,104,Charlottesville City,120,Jackson-Via Elementary,"Black, not of Hispanic origin",Y,126,,126
2010-2011,School,104,Charlottesville City,120,Jackson-Via Elementary,"White, not of Hispanic origin",Y,22,,22
2010-2011,School,104,Charlottesville City,10,Johnson Elementary,"Black, not of Hispanic origin",Y,144,,144
2010-2011,School,104,Charlottesville City,10,Johnson Elementary,"White, not of Hispanic origin",Y,27,,27
2010-2011,School,104,Charlottesville City,40,Venable Elementary,"Black, not of Hispanic origin",Y,66,,66
2010-2011,School,104,Charlottesville City,40,Venable Elementary,"White, not of Hispanic origin",Y,11,,11
2010-2011,School,104,Charlottesville City,110,Walker Upper Elementary,"Black, not of Hispanic origin",Y,206,,206
2010-2011,School,104,Charlottesville City,110,Walker Upper Elementary,"White, not of Hispanic origin",Y,39,,39
2010-2011,Division,104,Charlottesville City,,,"Black, not of Hispanic origin",Y,"1,379",,"1,379"
2010-2011,Division,104,Charlottesville City,,,"White, not of Hispanic origin",Y,332,,332
2010-2011,School,32,Fluvanna County,300,Central Elementary,"Black, not of Hispanic origin",Y,105,,105
2010-2011,School,32,Fluvanna County,300,Central Elementary,"White, not of Hispanic origin",Y,204,,204
2010-2011,School,32,Fluvanna County,270,Columbia District Elementary,"Black, not of Hispanic origin",Y,23,,23
2010-2011,School,32,Fluvanna County,270,Columbia District Elementary,"White, not of Hispanic origin",Y,11,,11
2010-2011,School,32,Fluvanna County,290,Cunningham District Elementary,"Black, not of Hispanic origin",Y,28,,28
2010-2011,School,32,Fluvanna County,290,Cunningham District Elementary,"White, not of Hispanic origin",Y,53,,53
2010-2011,School,32,Fluvanna County,260,Fluvanna County High,"Black, not of Hispanic origin",Y,109,,109
2010-2011,School,32,Fluvanna County,260,Fluvanna County High,"White, not of Hispanic origin",Y,114,,114
2010-2011,School,32,Fluvanna County,20,Fluvanna Middle,"Black, not of Hispanic origin",Y,65,,65
2010-2011,School,32,Fluvanna County,20,Fluvanna Middle,"White, not of Hispanic origin",Y,108,,108
2010-2011,Division,32,Fluvanna County,,,"Black, not of Hispanic origin",Y,330,,330
2010-2011,Division,32,Fluvanna County,,,"White, not of Hispanic origin",Y,490,,490
2010-2011,School,39,Greene County,10,Greene County Primary,"Black, not of Hispanic origin",Y,21,,21
2010-2011,School,39,Greene County,10,Greene County Primary,"White, not of Hispanic origin",Y,146,,146
2010-2011,School,39,Greene County,20,Nathanael Greene Elementary,"Black, not of Hispanic origin",Y,25,,25
2010-2011,School,39,Greene County,20,Nathanael Greene Elementary,"White, not of Hispanic origin",Y,102,,102
2010-2011,School,39,Greene County,30,Ruckersville Elementary,"Black, not of Hispanic origin",Y,31,,31
2010-2011,School,39,Greene County,30,Ruckersville Elementary,"White, not of Hispanic origin",Y,86,,86
2010-2011,School,39,Greene County,72,William Monroe High,"Black, not of Hispanic origin",Y,41,,41
2010-2011,School,39,Greene County,72,William Monroe High,"White, not of Hispanic origin",Y,131,,131
2010-2011,School,39,Greene County,71,William Monroe Middle,"Black, not of Hispanic origin",Y,26,,26
2010-2011,School,39,Greene County,71,William Monroe Middle,"White, not of Hispanic origin",Y,132,,132
2010-2011,Division,39,Greene County,,,"Black, not of Hispanic origin",Y,144,,144
2010-2011,Division,39,Greene County,,,"White, not of Hispanic origin",Y,597,,597
2010-2011,School,54,Louisa County,660,Jouett Elementary,"Black, not of Hispanic origin",Y,56,,56
2010-2011,School,54,Louisa County,660,Jouett Elementary,"White, not of Hispanic origin",Y,174,,174
2010-2011,School,54,Louisa County,602,Louisa County High,"Black, not of Hispanic origin",Y,200,,200
2010-2011,School,54,Louisa County,602,Louisa County High,"White, not of Hispanic origin",Y,286,,286
2010-2011,School,54,Louisa County,601,Louisa County Middle,"Black, not of Hispanic origin",Y,140,,140
2010-2011,School,54,Louisa County,601,Louisa County Middle,"White, not of Hispanic origin",Y,268,,268
2010-2011,School,54,Louisa County,80,Moss-Nuckols Elementary,"Black, not of Hispanic origin",Y,99,,99
2010-2011,School,54,Louisa County,80,Moss-Nuckols Elementary,"White, not of Hispanic origin",Y,112,,112
2010-2011,School,54,Louisa County,610,Thomas Jefferson Elementary,"Black, not of Hispanic origin",Y,75,,75
2010-2011,School,54,Louisa County,610,Thomas Jefferson Elementary,"White, not of Hispanic origin",Y,213,,213
2010-2011,School,54,Louisa County,641,Trevilians Elementary,"Black, not of Hispanic origin",Y,52,,52
2010-2011,School,54,Louisa County,641,Trevilians Elementary,"White, not of Hispanic origin",Y,124,,124
2010-2011,Division,54,Louisa County,,,"Black, not of Hispanic origin",Y,622,,622
2010-2011,Division,54,Louisa County,,,"White, not of Hispanic origin",Y,"1,177",,"1,177"
2010-2011,School,62,Nelson County,710,Nelson County High,"Black, not of Hispanic origin",Y,67,,67
2010-2011,School,62,Nelson County,710,Nelson County High,"White, not of Hispanic origin",Y,132,,132
2010-2011,School,62,Nelson County,730,Nelson Middle,"Black, not of Hispanic origin",Y,34,,34
2010-2011,School,62,Nelson County,730,Nelson Middle,"White, not of Hispanic origin",Y,118,,118
2010-2011,School,62,Nelson County,10,Rockfish River Elementary,"Black, not of Hispanic origin",Y,19,,19
2010-2011,School,62,Nelson County,10,Rockfish River Elementary,"White, not of Hispanic origin",Y,142,,142
2010-2011,School,62,Nelson County,20,Tye River Elementary,"Black, not of Hispanic origin",Y,72,,72
2010-2011,School,62,Nelson County,20,Tye River Elementary,"White, not of Hispanic origin",Y,157,,157
2010-2011,Division,62,Nelson County,,,"Black, not of Hispanic origin",Y,192,,192
2010-2011,Division,62,Nelson County,,,"White, not of Hispanic origin",Y,549,,549
