School Year,Level,Division Number,Division Name,School Number,School Name,Race,Disabled,Disability Type,Full Time Count (All Grades),Part Time Count (All Grades),Total Count
2008-2009,School,32,Fluvanna County,260,Fluvanna County High,"White, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2008-2009,School,32,Fluvanna County,260,Fluvanna County High,"White, not of Hispanic origin",Y,Autism,<,,<
2008-2009,School,32,Fluvanna County,260,Fluvanna County High,"White, not of Hispanic origin",Y,Other Health Impairments,25,,25
2008-2009,School,32,Fluvanna County,260,Fluvanna County High,"White, not of Hispanic origin",Y,Visual Impairments,<,,<
2008-2009,School,32,Fluvanna County,260,Fluvanna County High,"White, not of Hispanic origin",Y,Orthopedic Impairments,<,,<
2008-2009,School,32,Fluvanna County,260,Fluvanna County High,"White, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2008-2009,School,32,Fluvanna County,260,Fluvanna County High,"White, not of Hispanic origin",Y,Specific Learning Disabilities,45,,45
2008-2009,School,32,Fluvanna County,20,Fluvanna Middle,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,13,,13
2008-2009,School,32,Fluvanna County,20,Fluvanna Middle,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2008-2009,School,32,Fluvanna County,20,Fluvanna Middle,"Black, not of Hispanic origin",Y,Other Health Impairments,<,,<
2008-2009,School,32,Fluvanna County,20,Fluvanna Middle,"Black, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2008-2009,School,32,Fluvanna County,20,Fluvanna Middle,"White, not of Hispanic origin",Y,Speech or Language Impairments,12,,12
2008-2009,School,32,Fluvanna County,20,Fluvanna Middle,"White, not of Hispanic origin",Y,Multiple Disabilities,<,,<
2008-2009,School,32,Fluvanna County,20,Fluvanna Middle,"White, not of Hispanic origin",Y,Autism,<,,<
2008-2009,School,32,Fluvanna County,20,Fluvanna Middle,"White, not of Hispanic origin",Y,Other Health Impairments,31,,31
2008-2009,School,32,Fluvanna County,20,Fluvanna Middle,"White, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2008-2009,School,32,Fluvanna County,20,Fluvanna Middle,"White, not of Hispanic origin",Y,Specific Learning Disabilities,19,,19
2008-2009,Division,32,Fluvanna County,,,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,42,,42
2008-2009,Division,32,Fluvanna County,,,"Black, not of Hispanic origin",Y,Speech or Language Impairments,27,,27
2008-2009,Division,32,Fluvanna County,,,"Black, not of Hispanic origin",Y,Developmental Delay,<,,<
2008-2009,Division,32,Fluvanna County,,,"Black, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2008-2009,Division,32,Fluvanna County,,,"Black, not of Hispanic origin",Y,Multiple Disabilities,<,,<
2008-2009,Division,32,Fluvanna County,,,"Black, not of Hispanic origin",Y,Other Health Impairments,19,,19
2008-2009,Division,32,Fluvanna County,,,"Black, not of Hispanic origin",Y,Orthopedic Impairments,<,,<
2008-2009,Division,32,Fluvanna County,,,"Black, not of Hispanic origin",Y,Autism,<,,<
2008-2009,Division,32,Fluvanna County,,,"White, not of Hispanic origin",Y,Hearing Impairments,<,,<
2008-2009,Division,32,Fluvanna County,,,"White, not of Hispanic origin",Y,Multiple Disabilities,15,,15
2008-2009,Division,32,Fluvanna County,,,"White, not of Hispanic origin",Y,Orthopedic Impairments,<,,<
2008-2009,Division,32,Fluvanna County,,,"White, not of Hispanic origin",Y,Other Health Impairments,69,,69
2008-2009,Division,32,Fluvanna County,,,"White, not of Hispanic origin",Y,Autism,17,,17
2008-2009,Division,32,Fluvanna County,,,"White, not of Hispanic origin",Y,Developmental Delay,11,,11
2008-2009,Division,32,Fluvanna County,,,"White, not of Hispanic origin",Y,Visual Impairments,<,,<
2008-2009,Division,32,Fluvanna County,,,"White, not of Hispanic origin",Y,Emotional Disturbance,12,,12
2008-2009,Division,32,Fluvanna County,,,"White, not of Hispanic origin",Y,Specific Learning Disabilities,84,,84
2008-2009,Division,32,Fluvanna County,,,"White, not of Hispanic origin",Y,Speech or Language Impairments,78,,78
2008-2009,School,39,Greene County,10,Greene County Primary,"Black, not of Hispanic origin",Y,Other Health Impairments,<,,<
2008-2009,School,39,Greene County,10,Greene County Primary,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2008-2009,School,39,Greene County,10,Greene County Primary,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2008-2009,School,39,Greene County,10,Greene County Primary,"White, not of Hispanic origin",Y,Developmental Delay,15,,15
2008-2009,School,39,Greene County,10,Greene County Primary,"White, not of Hispanic origin",Y,Speech or Language Impairments,32,,32
2008-2009,School,39,Greene County,10,Greene County Primary,"White, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2008-2009,School,39,Greene County,10,Greene County Primary,"White, not of Hispanic origin",Y,Other Health Impairments,<,,<
2008-2009,School,39,Greene County,10,Greene County Primary,"White, not of Hispanic origin",Y,Multiple Disabilities,<,,<
2008-2009,School,39,Greene County,10,Greene County Primary,"White, not of Hispanic origin",Y,Hearing Impairments,<,,<
2008-2009,School,39,Greene County,20,Nathanael Greene Elementary,"Black, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2008-2009,School,39,Greene County,20,Nathanael Greene Elementary,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2008-2009,School,39,Greene County,20,Nathanael Greene Elementary,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2008-2009,School,39,Greene County,20,Nathanael Greene Elementary,"Black, not of Hispanic origin",Y,Other Health Impairments,<,,<
2008-2009,School,39,Greene County,20,Nathanael Greene Elementary,"White, not of Hispanic origin",Y,Visual Impairments,<,,<
2008-2009,School,39,Greene County,20,Nathanael Greene Elementary,"White, not of Hispanic origin",Y,Speech or Language Impairments,15,,15
2008-2009,School,39,Greene County,20,Nathanael Greene Elementary,"White, not of Hispanic origin",Y,Multiple Disabilities,<,,<
2008-2009,School,39,Greene County,20,Nathanael Greene Elementary,"White, not of Hispanic origin",Y,Other Health Impairments,11,,11
2008-2009,School,39,Greene County,20,Nathanael Greene Elementary,"White, not of Hispanic origin",Y,Specific Learning Disabilities,18,,18
2008-2009,School,39,Greene County,20,Nathanael Greene Elementary,"White, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2008-2009,School,39,Greene County,20,Nathanael Greene Elementary,"White, not of Hispanic origin",Y,Developmental Delay,<,,<
2008-2009,School,39,Greene County,20,Nathanael Greene Elementary,"White, not of Hispanic origin",Y,Autism,<,,<
2008-2009,School,39,Greene County,30,Ruckersville Elementary,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2008-2009,School,39,Greene County,30,Ruckersville Elementary,"Black, not of Hispanic origin",Y,Developmental Delay,<,,<
2008-2009,School,39,Greene County,30,Ruckersville Elementary,"Black, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2008-2009,School,39,Greene County,30,Ruckersville Elementary,"Black, not of Hispanic origin",Y,Other Health Impairments,<,,<
2008-2009,School,39,Greene County,30,Ruckersville Elementary,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2008-2009,School,39,Greene County,30,Ruckersville Elementary,"White, not of Hispanic origin",Y,Speech or Language Impairments,20,,20
2008-2009,School,39,Greene County,30,Ruckersville Elementary,"White, not of Hispanic origin",Y,Visual Impairments,<,,<
2008-2009,School,39,Greene County,30,Ruckersville Elementary,"White, not of Hispanic origin",Y,Other Health Impairments,<,,<
2008-2009,School,39,Greene County,30,Ruckersville Elementary,"White, not of Hispanic origin",Y,Specific Learning Disabilities,21,,21
2008-2009,School,39,Greene County,30,Ruckersville Elementary,"White, not of Hispanic origin",Y,Multiple Disabilities,<,,<
2008-2009,School,39,Greene County,30,Ruckersville Elementary,"White, not of Hispanic origin",Y,Developmental Delay,<,,<
2008-2009,School,39,Greene County,30,Ruckersville Elementary,"White, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2008-2009,School,39,Greene County,30,Ruckersville Elementary,"White, not of Hispanic origin",Y,Hearing Impairments,<,,<
2008-2009,School,39,Greene County,30,Ruckersville Elementary,"White, not of Hispanic origin",Y,Autism,<,,<
2008-2009,School,39,Greene County,72,William Monroe High,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2008-2009,School,39,Greene County,72,William Monroe High,"Black, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2008-2009,School,39,Greene County,72,William Monroe High,"Black, not of Hispanic origin",Y,Other Health Impairments,<,,<
2008-2009,School,39,Greene County,72,William Monroe High,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,13,,13
2008-2009,School,39,Greene County,72,William Monroe High,"White, not of Hispanic origin",Y,Autism,<,,<
2008-2009,School,39,Greene County,72,William Monroe High,"White, not of Hispanic origin",Y,Emotional Disturbance,14,,14
2008-2009,School,39,Greene County,72,William Monroe High,"White, not of Hispanic origin",Y,Multiple Disabilities,<,,<
2008-2009,School,39,Greene County,72,William Monroe High,"White, not of Hispanic origin",Y,Other Health Impairments,35,,35
2008-2009,School,39,Greene County,72,William Monroe High,"White, not of Hispanic origin",Y,Specific Learning Disabilities,54,,54
2008-2009,School,39,Greene County,72,William Monroe High,"White, not of Hispanic origin",Y,Visual Impairments,<,,<
2008-2009,School,39,Greene County,71,William Monroe Middle,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2008-2009,School,39,Greene County,71,William Monroe Middle,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2008-2009,School,39,Greene County,71,William Monroe Middle,"Black, not of Hispanic origin",Y,Other Health Impairments,<,,<
2008-2009,School,39,Greene County,71,William Monroe Middle,"Black, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2008-2009,School,39,Greene County,71,William Monroe Middle,"Black, not of Hispanic origin",Y,Autism,<,,<
2008-2009,School,39,Greene County,71,William Monroe Middle,"White, not of Hispanic origin",Y,Specific Learning Disabilities,39,,39
2008-2009,School,39,Greene County,71,William Monroe Middle,"White, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2008-2009,School,39,Greene County,71,William Monroe Middle,"White, not of Hispanic origin",Y,Other Health Impairments,18,,18
2008-2009,School,39,Greene County,71,William Monroe Middle,"White, not of Hispanic origin",Y,Hearing Impairments,<,,<
2008-2009,School,39,Greene County,71,William Monroe Middle,"White, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2008-2009,School,39,Greene County,71,William Monroe Middle,"White, not of Hispanic origin",Y,Autism,<,,<
2008-2009,Division,39,Greene County,,,"Black, not of Hispanic origin",Y,Other Health Impairments,18,,18
2008-2009,Division,39,Greene County,,,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,24,,24
2008-2009,Division,39,Greene County,,,"Black, not of Hispanic origin",Y,Speech or Language Impairments,13,,13
2008-2009,Division,39,Greene County,,,"Black, not of Hispanic origin",Y,Autism,<,,<
2008-2009,Division,39,Greene County,,,"Black, not of Hispanic origin",Y,Developmental Delay,<,,<
2008-2009,Division,39,Greene County,,,"Black, not of Hispanic origin",Y,Emotional Disturbance,12,,12
2008-2009,Division,39,Greene County,,,"White, not of Hispanic origin",Y,Hearing Impairments,<,,<
2008-2009,Division,39,Greene County,,,"White, not of Hispanic origin",Y,Emotional Disturbance,28,,28
2008-2009,Division,39,Greene County,,,"White, not of Hispanic origin",Y,Multiple Disabilities,<,,<
2008-2009,Division,39,Greene County,,,"White, not of Hispanic origin",Y,Other Health Impairments,74,,74
2008-2009,Division,39,Greene County,,,"White, not of Hispanic origin",Y,Specific Learning Disabilities,132,,132
2008-2009,Division,39,Greene County,,,"White, not of Hispanic origin",Y,Autism,12,,12
2008-2009,Division,39,Greene County,,,"White, not of Hispanic origin",Y,Developmental Delay,19,,19
2008-2009,Division,39,Greene County,,,"White, not of Hispanic origin",Y,Speech or Language Impairments,71,,71
2008-2009,Division,39,Greene County,,,"White, not of Hispanic origin",Y,Visual Impairments,<,,<
2008-2009,School,54,Louisa County,660,Jouett Elementary,"Black, not of Hispanic origin",Y,Other Health Impairments,<,,<
2008-2009,School,54,Louisa County,660,Jouett Elementary,"Black, not of Hispanic origin",Y,Developmental Delay,<,,<
2008-2009,School,54,Louisa County,660,Jouett Elementary,"Black, not of Hispanic origin",Y,Autism,<,,<
2008-2009,School,54,Louisa County,660,Jouett Elementary,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2008-2009,School,54,Louisa County,660,Jouett Elementary,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2008-2009,School,54,Louisa County,660,Jouett Elementary,"White, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2008-2009,School,54,Louisa County,660,Jouett Elementary,"White, not of Hispanic origin",Y,Developmental Delay,11,,11
2008-2009,School,54,Louisa County,660,Jouett Elementary,"White, not of Hispanic origin",Y,Autism,<,,<
2008-2009,School,54,Louisa County,660,Jouett Elementary,"White, not of Hispanic origin",Y,Hearing Impairments,<,,<
2008-2009,School,54,Louisa County,660,Jouett Elementary,"White, not of Hispanic origin",Y,Speech or Language Impairments,27,,27
2008-2009,School,54,Louisa County,660,Jouett Elementary,"White, not of Hispanic origin",Y,Specific Learning Disabilities,16,,16
2008-2009,School,54,Louisa County,660,Jouett Elementary,"White, not of Hispanic origin",Y,Other Health Impairments,<,,<
2008-2009,School,54,Louisa County,602,Louisa County High,"Black, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2008-2009,School,54,Louisa County,602,Louisa County High,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,41,,41
2008-2009,School,54,Louisa County,602,Louisa County High,"Black, not of Hispanic origin",Y,Other Health Impairments,11,,11
2008-2009,School,54,Louisa County,602,Louisa County High,"Black, not of Hispanic origin",Y,Hearing Impairments,<,,<
2008-2009,School,54,Louisa County,602,Louisa County High,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2008-2009,School,54,Louisa County,602,Louisa County High,"White, not of Hispanic origin",Y,Other Health Impairments,19,,19
2008-2009,School,54,Louisa County,602,Louisa County High,"White, not of Hispanic origin",Y,Specific Learning Disabilities,88,,88
2008-2009,School,54,Louisa County,602,Louisa County High,"White, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2008-2009,School,54,Louisa County,602,Louisa County High,"White, not of Hispanic origin",Y,Traumatic Brain Injured,<,,<
2008-2009,School,54,Louisa County,602,Louisa County High,"White, not of Hispanic origin",Y,Autism,<,,<
2008-2009,School,54,Louisa County,602,Louisa County High,"White, not of Hispanic origin",Y,Emotional Disturbance,32,,32
2008-2009,School,54,Louisa County,602,Louisa County High,"White, not of Hispanic origin",Y,Hearing Impairments,<,,<
2008-2009,School,54,Louisa County,602,Louisa County High,"White, not of Hispanic origin",Y,Multiple Disabilities,<,,<
2008-2009,School,54,Louisa County,602,Louisa County High,"White, not of Hispanic origin",Y,Orthopedic Impairments,<,,<
2008-2009,School,54,Louisa County,601,Louisa County Middle,"Black, not of Hispanic origin",Y,Autism,<,,<
2008-2009,School,54,Louisa County,601,Louisa County Middle,"Black, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2008-2009,School,54,Louisa County,601,Louisa County Middle,"Black, not of Hispanic origin",Y,Other Health Impairments,<,,<
2008-2009,School,54,Louisa County,601,Louisa County Middle,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,17,,17
2008-2009,School,54,Louisa County,601,Louisa County Middle,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2008-2009,School,54,Louisa County,601,Louisa County Middle,"White, not of Hispanic origin",Y,Emotional Disturbance,15,,15
2008-2009,School,54,Louisa County,601,Louisa County Middle,"White, not of Hispanic origin",Y,Traumatic Brain Injured,<,,<
2008-2009,School,54,Louisa County,601,Louisa County Middle,"White, not of Hispanic origin",Y,Hearing Impairments,<,,<
2008-2009,School,54,Louisa County,601,Louisa County Middle,"White, not of Hispanic origin",Y,Multiple Disabilities,<,,<
2008-2009,School,54,Louisa County,601,Louisa County Middle,"White, not of Hispanic origin",Y,Other Health Impairments,23,,23
2008-2009,School,54,Louisa County,601,Louisa County Middle,"White, not of Hispanic origin",Y,Specific Learning Disabilities,60,,60
2008-2009,School,54,Louisa County,601,Louisa County Middle,"White, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2008-2009,School,54,Louisa County,601,Louisa County Middle,"White, not of Hispanic origin",Y,Autism,<,,<
2008-2009,School,54,Louisa County,610,Thomas Jefferson Elementary,"Black, not of Hispanic origin",Y,Multiple Disabilities,<,,<
2008-2009,School,54,Louisa County,610,Thomas Jefferson Elementary,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2008-2009,School,54,Louisa County,610,Thomas Jefferson Elementary,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2008-2009,School,54,Louisa County,610,Thomas Jefferson Elementary,"Black, not of Hispanic origin",Y,Other Health Impairments,<,,<
2008-2009,School,54,Louisa County,610,Thomas Jefferson Elementary,"Black, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2008-2009,School,54,Louisa County,610,Thomas Jefferson Elementary,"Black, not of Hispanic origin",Y,Developmental Delay,<,,<
2008-2009,School,54,Louisa County,610,Thomas Jefferson Elementary,"Black, not of Hispanic origin",Y,Autism,<,,<
2008-2009,School,54,Louisa County,610,Thomas Jefferson Elementary,"White, not of Hispanic origin",Y,Speech or Language Impairments,23,,23
2008-2009,School,54,Louisa County,610,Thomas Jefferson Elementary,"White, not of Hispanic origin",Y,Developmental Delay,<,,<
2008-2009,School,54,Louisa County,610,Thomas Jefferson Elementary,"White, not of Hispanic origin",Y,Other Health Impairments,<,,<
2008-2009,School,54,Louisa County,610,Thomas Jefferson Elementary,"White, not of Hispanic origin",Y,Multiple Disabilities,<,,<
2008-2009,School,54,Louisa County,610,Thomas Jefferson Elementary,"White, not of Hispanic origin",Y,Hearing Impairments,<,,<
2008-2009,School,54,Louisa County,610,Thomas Jefferson Elementary,"White, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2008-2009,School,54,Louisa County,610,Thomas Jefferson Elementary,"White, not of Hispanic origin",Y,Specific Learning Disabilities,19,,19
2008-2009,School,54,Louisa County,610,Thomas Jefferson Elementary,"White, not of Hispanic origin",Y,Autism,15,,15
2008-2009,School,54,Louisa County,610,Thomas Jefferson Elementary,"White, not of Hispanic origin",Y,Traumatic Brain Injured,<,,<
2008-2009,School,54,Louisa County,641,Trevilians Elementary,"Black, not of Hispanic origin",Y,Other Health Impairments,<,,<
2008-2009,School,54,Louisa County,641,Trevilians Elementary,"Black, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2008-2009,School,54,Louisa County,641,Trevilians Elementary,"Black, not of Hispanic origin",Y,Developmental Delay,<,,<
2008-2009,School,54,Louisa County,641,Trevilians Elementary,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2008-2009,School,54,Louisa County,641,Trevilians Elementary,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2008-2009,School,54,Louisa County,641,Trevilians Elementary,"Black, not of Hispanic origin",Y,Autism,<,,<
2008-2009,School,54,Louisa County,641,Trevilians Elementary,"White, not of Hispanic origin",Y,Autism,<,,<
2008-2009,School,54,Louisa County,641,Trevilians Elementary,"White, not of Hispanic origin",Y,Developmental Delay,10,,10
2008-2009,School,54,Louisa County,641,Trevilians Elementary,"White, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2008-2009,School,54,Louisa County,641,Trevilians Elementary,"White, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2008-2009,School,54,Louisa County,641,Trevilians Elementary,"White, not of Hispanic origin",Y,Multiple Disabilities,<,,<
2008-2009,School,54,Louisa County,641,Trevilians Elementary,"White, not of Hispanic origin",Y,Orthopedic Impairments,<,,<
2008-2009,School,54,Louisa County,641,Trevilians Elementary,"White, not of Hispanic origin",Y,Speech or Language Impairments,20,,20
2008-2009,Division,54,Louisa County,,,"Black, not of Hispanic origin",Y,Multiple Disabilities,<,,<
2008-2009,Division,54,Louisa County,,,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,73,,73
2008-2009,Division,54,Louisa County,,,"Black, not of Hispanic origin",Y,Other Health Impairments,29,,29
2008-2009,Division,54,Louisa County,,,"Black, not of Hispanic origin",Y,Speech or Language Impairments,30,,30
2008-2009,Division,54,Louisa County,,,"Black, not of Hispanic origin",Y,Autism,<,,<
2008-2009,Division,54,Louisa County,,,"Black, not of Hispanic origin",Y,Developmental Delay,15,,15
2008-2009,Division,54,Louisa County,,,"Black, not of Hispanic origin",Y,Emotional Disturbance,17,,17
2008-2009,Division,54,Louisa County,,,"Black, not of Hispanic origin",Y,Hearing Impairments,<,,<
2008-2009,Division,54,Louisa County,,,"White, not of Hispanic origin",Y,Autism,36,,36
2008-2009,Division,54,Louisa County,,,"White, not of Hispanic origin",Y,Orthopedic Impairments,<,,<
2008-2009,Division,54,Louisa County,,,"White, not of Hispanic origin",Y,Multiple Disabilities,<,,<
2008-2009,Division,54,Louisa County,,,"White, not of Hispanic origin",Y,Developmental Delay,30,,30
2008-2009,Division,54,Louisa County,,,"White, not of Hispanic origin",Y,Traumatic Brain Injured,<,,<
2008-2009,Division,54,Louisa County,,,"White, not of Hispanic origin",Y,Hearing Impairments,<,,<
2008-2009,Division,54,Louisa County,,,"White, not of Hispanic origin",Y,Other Health Impairments,59,,59
2008-2009,Division,54,Louisa County,,,"White, not of Hispanic origin",Y,Specific Learning Disabilities,192,,192
2008-2009,Division,54,Louisa County,,,"White, not of Hispanic origin",Y,Speech or Language Impairments,79,,79
2008-2009,Division,54,Louisa County,,,"White, not of Hispanic origin",Y,Emotional Disturbance,67,,67
2008-2009,School,62,Nelson County,710,Nelson County High,"Black, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2008-2009,School,62,Nelson County,710,Nelson County High,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2008-2009,School,62,Nelson County,710,Nelson County High,"Black, not of Hispanic origin",Y,Other Health Impairments,<,,<
2008-2009,School,62,Nelson County,710,Nelson County High,"White, not of Hispanic origin",Y,Other Health Impairments,13,,13
2008-2009,School,62,Nelson County,710,Nelson County High,"White, not of Hispanic origin",Y,Specific Learning Disabilities,27,,27
2008-2009,School,62,Nelson County,710,Nelson County High,"White, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2008-2009,School,62,Nelson County,710,Nelson County High,"White, not of Hispanic origin",Y,Multiple Disabilities,<,,<
2008-2009,School,62,Nelson County,710,Nelson County High,"White, not of Hispanic origin",Y,Autism,<,,<
2008-2009,School,62,Nelson County,710,Nelson County High,"White, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2008-2009,School,62,Nelson County,710,Nelson County High,"White, not of Hispanic origin",Y,Hearing Impairments,<,,<
2008-2009,School,62,Nelson County,730,Nelson Middle,"Black, not of Hispanic origin",Y,Other Health Impairments,<,,<
2008-2009,School,62,Nelson County,730,Nelson Middle,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2008-2009,School,62,Nelson County,730,Nelson Middle,"Black, not of Hispanic origin",Y,Hearing Impairments,<,,<
2008-2009,School,62,Nelson County,730,Nelson Middle,"White, not of Hispanic origin",Y,Specific Learning Disabilities,15,,15
2008-2009,School,62,Nelson County,730,Nelson Middle,"White, not of Hispanic origin",Y,Hearing Impairments,<,,<
2008-2009,School,62,Nelson County,730,Nelson Middle,"White, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2008-2009,School,62,Nelson County,730,Nelson Middle,"White, not of Hispanic origin",Y,Autism,<,,<
2008-2009,School,62,Nelson County,730,Nelson Middle,"White, not of Hispanic origin",Y,Other Health Impairments,13,,13
2008-2009,School,62,Nelson County,730,Nelson Middle,"White, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2008-2009,School,62,Nelson County,730,Nelson Middle,"White, not of Hispanic origin",Y,Visual Impairments,<,,<
2008-2009,School,62,Nelson County,10,Rockfish River Elementary,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2008-2009,School,62,Nelson County,10,Rockfish River Elementary,"Black, not of Hispanic origin",Y,Autism,<,,<
2008-2009,School,62,Nelson County,10,Rockfish River Elementary,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2008-2009,School,62,Nelson County,10,Rockfish River Elementary,"White, not of Hispanic origin",Y,Developmental Delay,11,,11
2008-2009,School,62,Nelson County,10,Rockfish River Elementary,"White, not of Hispanic origin",Y,Autism,<,,<
2008-2009,School,62,Nelson County,10,Rockfish River Elementary,"White, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2008-2009,School,62,Nelson County,10,Rockfish River Elementary,"White, not of Hispanic origin",Y,Other Health Impairments,<,,<
2008-2009,School,62,Nelson County,10,Rockfish River Elementary,"White, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2008-2009,School,62,Nelson County,10,Rockfish River Elementary,"White, not of Hispanic origin",Y,Speech or Language Impairments,14,,14
2008-2009,School,62,Nelson County,20,Tye River Elementary,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2008-2009,School,62,Nelson County,20,Tye River Elementary,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2008-2009,School,62,Nelson County,20,Tye River Elementary,"Black, not of Hispanic origin",Y,Traumatic Brain Injured,<,,<
2008-2009,School,62,Nelson County,20,Tye River Elementary,"Black, not of Hispanic origin",Y,Developmental Delay,<,,<
2008-2009,School,62,Nelson County,20,Tye River Elementary,"Black, not of Hispanic origin",Y,Other Health Impairments,<,,<
2008-2009,School,62,Nelson County,20,Tye River Elementary,"White, not of Hispanic origin",Y,Speech or Language Impairments,18,,18
2008-2009,School,62,Nelson County,20,Tye River Elementary,"White, not of Hispanic origin",Y,Visual Impairments,<,,<
2008-2009,School,62,Nelson County,20,Tye River Elementary,"White, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2008-2009,School,62,Nelson County,20,Tye River Elementary,"White, not of Hispanic origin",Y,Other Health Impairments,<,,<
2008-2009,School,62,Nelson County,20,Tye River Elementary,"White, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2008-2009,School,62,Nelson County,20,Tye River Elementary,"White, not of Hispanic origin",Y,Developmental Delay,<,,<
2008-2009,School,62,Nelson County,20,Tye River Elementary,"White, not of Hispanic origin",Y,Autism,<,,<
2008-2009,Division,62,Nelson County,,,"Black, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2008-2009,Division,62,Nelson County,,,"Black, not of Hispanic origin",Y,Hearing Impairments,<,,<
2008-2009,Division,62,Nelson County,,,"Black, not of Hispanic origin",Y,Other Health Impairments,<,,<
2008-2009,Division,62,Nelson County,,,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,19,,19
2008-2009,Division,62,Nelson County,,,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2008-2009,Division,62,Nelson County,,,"Black, not of Hispanic origin",Y,Traumatic Brain Injured,<,,<
2008-2009,Division,62,Nelson County,,,"Black, not of Hispanic origin",Y,Autism,<,,<
2008-2009,Division,62,Nelson County,,,"Black, not of Hispanic origin",Y,Developmental Delay,<,,<
2008-2009,Division,62,Nelson County,,,"White, not of Hispanic origin",Y,Speech or Language Impairments,40,,40
2008-2009,Division,62,Nelson County,,,"White, not of Hispanic origin",Y,Specific Learning Disabilities,57,,57
2008-2009,Division,62,Nelson County,,,"White, not of Hispanic origin",Y,Other Health Impairments,38,,38
2008-2009,Division,62,Nelson County,,,"White, not of Hispanic origin",Y,Multiple Disabilities,<,,<
2008-2009,Division,62,Nelson County,,,"White, not of Hispanic origin",Y,Hearing Impairments,<,,<
2008-2009,Division,62,Nelson County,,,"White, not of Hispanic origin",Y,Emotional Disturbance,13,,13
2008-2009,Division,62,Nelson County,,,"White, not of Hispanic origin",Y,Visual Impairments,<,,<
